Month of Sourcing,Sourcing Cost
Feb-21,76.82
Feb-21,107.6
Feb-21,144.31
Feb-21,106.32
Feb-21,49.6
Feb-21,94.04
Feb-21,107.22
Feb-21,192.76
Feb-21,144.31
Feb-21,89.24
Feb-21,48.89
Feb-21,145.79
Feb-21,107.6
Feb-21,147.41
Feb-21,80.14
Feb-21,180.0
Feb-21,105.65
Feb-21,140.75
Feb-21,107.25
Feb-21,142.61
Feb-21,85.63
Feb-21,107.22
Feb-21,192.76
Feb-21,147.41
Feb-21,76.82
Feb-21,140.75
Feb-21,108.25
Feb-21,145.79
Feb-21,106.51
Feb-21,107.25
Feb-21,49.18
Feb-21,140.75
Feb-21,48.89
Feb-21,107.6
Feb-21,59.09
Feb-21,145.79
Feb-21,76.82
Feb-21,145.79
Feb-21,140.75
Feb-21,106.32
Feb-21,140.75
Feb-21,94.04
Feb-21,132.58
Feb-21,174.5
Feb-21,79.52
Feb-21,140.75
Feb-21,107.6
Feb-21,142.61
Feb-21,145.79
Feb-21,147.41
Feb-21,83.69
Feb-21,107.6
Feb-21,107.6
Feb-21,49.17
Feb-21,106.51
Feb-21,94.04
Feb-21,174.5
Feb-21,83.69
Feb-21,174.99
Feb-21,107.25
Feb-21,174.99
Feb-21,107.25
Feb-21,107.22
Feb-21,145.79
Feb-21,79.52
Feb-21,174.99
Feb-21,49.17
Feb-21,128.57
Feb-21,145.79
Feb-21,107.22
Feb-21,107.25
Feb-21,97.7
Feb-21,48.89
Feb-21,95.0
Feb-21,192.76
Feb-21,89.24
Feb-21,97.7
Feb-21,49.31
Feb-21,142.61
Feb-21,145.79
Feb-21,174.99
Feb-21,107.25
Feb-21,76.82
Feb-21,94.04
Feb-21,106.51
Feb-21,105.65
Feb-21,132.58
Feb-21,49.6
Feb-21,70.41
Feb-21,97.7
Feb-21,48.89
Feb-21,106.51
Feb-21,107.22
Feb-21,132.58
Feb-21,79.52
Feb-21,70.41
Feb-21,49.17
Feb-21,79.52
Feb-21,80.14
Feb-21,192.76
Feb-21,49.31
Feb-21,145.92
Feb-21,140.75
Feb-21,49.31
Feb-21,49.18
Feb-21,140.75
Feb-21,107.25
Feb-21,56.52
Feb-21,106.32
Feb-21,49.18
Feb-21,140.75
Feb-21,49.12
Feb-21,107.6
Feb-21,76.82
Feb-21,79.52
Feb-21,107.25
Feb-21,49.31
Feb-21,145.79
Feb-21,106.32
Feb-21,106.32
Feb-21,107.22
Feb-21,89.24
Feb-21,79.52
Feb-21,147.41
Feb-21,106.32
Feb-21,145.92
Feb-21,56.52
Feb-21,59.09
Feb-21,140.75
Feb-21,94.04
Feb-21,107.25
Feb-21,97.7
Feb-21,142.61
Feb-21,107.6
Feb-21,94.04
Feb-21,107.6
Feb-21,80.14
Feb-21,49.18
Feb-21,56.52
Feb-21,140.75
Feb-21,79.52
Feb-21,76.82
Feb-21,106.32
Feb-21,174.99
Feb-21,106.32
Feb-21,140.75
Feb-21,147.41
Feb-21,49.61
Feb-21,107.25
Feb-21,192.76
Feb-21,94.04
Feb-21,140.75
Feb-21,106.32
Feb-21,136.23
Feb-21,107.25
Feb-21,106.32
Feb-21,174.99
Feb-21,107.22
Feb-21,174.99
Feb-21,192.76
Feb-21,48.89
Feb-21,147.41
Feb-21,147.41
Feb-21,145.79
Feb-21,70.41
Feb-21,70.41
Feb-21,174.5
Feb-21,79.52
Feb-21,107.25
Feb-21,70.41
Feb-21,180.0
Feb-21,94.04
Feb-21,106.32
Feb-21,49.17
Feb-21,48.89
Feb-21,145.92
Feb-21,174.5
Feb-21,49.18
Feb-21,106.51
Feb-21,140.75
Feb-21,79.52
Feb-21,174.99
Feb-21,107.6
Feb-21,48.89
Feb-21,174.99
Feb-21,76.82
Feb-21,106.51
Feb-21,49.61
Feb-21,174.5
Feb-21,48.89
Feb-21,107.22
Feb-21,174.99
Feb-21,174.99
Feb-21,174.99
Feb-21,136.23
Feb-21,56.52
Feb-21,145.79
Feb-21,90.43
Feb-21,140.75
Feb-21,49.31
Feb-21,107.6
Feb-21,106.51
Feb-21,147.41
Feb-21,142.61
Feb-21,106.51
Feb-21,70.41
Feb-21,97.7
Feb-21,106.32
Feb-21,48.89
Feb-21,147.41
Feb-21,174.5
Feb-21,145.92
Feb-21,132.58
Feb-21,79.52
Feb-21,49.17
Feb-21,105.65
Feb-21,49.18
Feb-21,147.41
Feb-21,94.04
Feb-21,107.25
Feb-21,107.22
Feb-21,140.75
Feb-21,95.0
Feb-21,140.75
Feb-21,145.79
Feb-21,147.41
Feb-21,49.31
Feb-21,145.79
Feb-21,95.0
Feb-21,147.41
Feb-21,80.14
Feb-21,80.14
Feb-21,107.25
Feb-21,140.75
Feb-21,95.0
Feb-21,145.79
Feb-21,76.82
Feb-21,94.04
Feb-21,107.22
Feb-21,79.52
Feb-21,140.75
Feb-21,140.75
Feb-21,107.6
Feb-21,107.22
Feb-21,174.5
Feb-21,79.52
Feb-21,145.79
Feb-21,106.51
Feb-21,49.61
Feb-21,107.6
Feb-21,59.09
Feb-21,107.6
Feb-21,49.6
Feb-21,95.0
Feb-21,79.52
Feb-21,106.51
Feb-21,70.41
Feb-21,59.09
Feb-21,76.82
Feb-21,106.32
Feb-21,174.99
Feb-21,79.52
Feb-21,180.0
Feb-21,80.14
Feb-21,48.63
Feb-21,76.82
Feb-21,107.22
Feb-21,49.31
Feb-21,107.25
Feb-21,49.12
Feb-21,174.5
Feb-21,107.25
Feb-21,140.75
Feb-21,49.32
Feb-21,106.32
Feb-21,106.51
Feb-21,106.51
Feb-21,76.82
Feb-21,108.25
Feb-21,107.6
Feb-21,180.0
Feb-21,107.6
Feb-21,107.6
Feb-21,140.75
Feb-21,79.52
Feb-21,80.14
Feb-21,142.61
Feb-21,132.58
Feb-21,180.0
Feb-21,49.6
Feb-21,192.76
Feb-21,107.25
Feb-21,107.25
Feb-21,174.99
Feb-21,174.5
Feb-21,79.52
Feb-21,49.17
Feb-21,107.22
Feb-21,174.5
Feb-21,174.99
Feb-21,106.51
Feb-21,70.41
Feb-21,76.82
Feb-21,48.89
Feb-21,94.04
Feb-21,105.65
Feb-21,140.75
Feb-21,174.99
Feb-21,94.04
Feb-21,107.22
Feb-21,70.41
Feb-21,105.65
Feb-21,80.14
Feb-21,174.5
Feb-21,76.82
Feb-21,107.22
Feb-21,70.41
Feb-21,49.18
Feb-21,107.25
Feb-21,95.0
Feb-21,174.5
Feb-21,174.99
Feb-21,106.51
Feb-21,107.25
Feb-21,105.65
Feb-21,70.41
Feb-21,142.61
Feb-21,83.69
Feb-21,147.41
Feb-21,107.6
Feb-21,107.6
Feb-21,174.99
Feb-21,94.04
Feb-21,105.65
Feb-21,174.5
Feb-21,79.52
Feb-21,79.52
Feb-21,174.99
Feb-21,107.25
Feb-21,49.17
Feb-21,48.89
Feb-21,106.32
Feb-21,147.41
Feb-21,106.32
Feb-21,107.25
Feb-21,83.69
Feb-21,105.65
Feb-21,106.51
Feb-21,49.17
Feb-21,76.82
Feb-21,89.24
Feb-21,94.04
Feb-21,147.41
Feb-21,107.6
Feb-21,59.09
Feb-21,106.51
Feb-21,49.6
Feb-21,107.22
Feb-21,107.22
Feb-21,174.5
Feb-21,80.14
Feb-21,49.17
Feb-21,144.31
Feb-21,145.92
Feb-21,49.18
Feb-21,107.6
Feb-21,95.0
Feb-21,140.75
Feb-21,107.25
Feb-21,107.22
Feb-21,107.22
Feb-21,132.58
Feb-21,174.5
Feb-21,145.92
Feb-21,80.14
Feb-21,83.69
Feb-21,107.25
Feb-21,49.17
Feb-21,174.5
Feb-21,49.17
Feb-21,107.22
Feb-21,192.76
Feb-21,174.5
Feb-21,79.52
Feb-21,70.41
Feb-21,132.58
Feb-21,95.0
Feb-21,56.52
Feb-21,174.5
Feb-21,80.14
Feb-21,107.25
Feb-21,76.82
Feb-21,80.14
Feb-21,95.0
Feb-21,174.99
Feb-21,136.23
Feb-21,147.41
Feb-21,145.79
Feb-21,140.75
Feb-21,49.18
Feb-21,107.6
Feb-21,56.52
Feb-21,106.51
Feb-21,49.18
Feb-21,147.41
Feb-21,140.75
Feb-21,76.82
Feb-21,174.99
Feb-21,142.61
Feb-21,76.82
Feb-21,147.41
Feb-21,49.17
Feb-21,106.32
Feb-21,107.25
Feb-21,94.04
Feb-21,147.41
Feb-21,106.32
Feb-21,174.99
Feb-21,144.31
Feb-21,145.92
Feb-21,105.65
Feb-21,106.51
Feb-21,108.25
Feb-21,107.22
Feb-21,140.75
Feb-21,76.82
Feb-21,83.69
Feb-21,145.92
Feb-21,94.04
Feb-21,105.65
Feb-21,180.0
Feb-21,90.43
Feb-21,56.52
Feb-21,107.22
Feb-21,95.0
Feb-21,147.41
Feb-21,94.04
Feb-21,49.17
Feb-21,145.79
Feb-21,145.92
Feb-21,80.14
Feb-21,70.41
Feb-21,140.75
Feb-21,107.25
Feb-21,80.14
Feb-21,145.92
Feb-21,108.25
Feb-21,180.0
Feb-21,76.82
Feb-21,70.41
Feb-21,106.51
Feb-21,107.25
Feb-21,56.52
Feb-21,106.32
Feb-21,80.14
Feb-21,106.51
Feb-21,95.0
Feb-21,106.32
Feb-21,95.0
Feb-21,147.41
Feb-21,107.6
Feb-21,128.57
Feb-21,97.7
Feb-21,174.5
Feb-21,145.79
Feb-21,49.17
Feb-21,108.25
Feb-21,174.99
Feb-21,49.12
Feb-21,48.89
Feb-21,174.99
Feb-21,106.32
Feb-21,90.43
Feb-21,192.76
Feb-21,56.52
Feb-21,49.31
Feb-21,49.18
Feb-21,107.22
Feb-21,174.5
Feb-21,107.25
Feb-21,174.5
Feb-21,48.89
Feb-21,56.52
Feb-21,147.41
Feb-21,106.32
Feb-21,140.75
Feb-21,48.89
Feb-21,79.52
Feb-21,79.52
Feb-21,106.51
Feb-21,79.52
Feb-21,174.99
Feb-21,106.32
Feb-21,107.22
Feb-21,94.04
Feb-21,128.57
Feb-21,49.12
Feb-21,48.89
Feb-21,147.41
Feb-21,140.75
Feb-21,94.04
Feb-21,174.5
Feb-21,94.04
Feb-21,107.6
Feb-21,59.09
Feb-21,79.52
Feb-21,94.04
Feb-21,145.79
Feb-21,180.0
Feb-21,49.17
Feb-21,107.6
Feb-21,106.32
Feb-21,140.75
Feb-21,95.0
Feb-21,94.04
Feb-21,140.75
Feb-21,145.79
Feb-21,113.04
Feb-21,70.41
Feb-21,48.89
Feb-21,97.7
Feb-21,79.52
Feb-21,76.82
Feb-21,79.52
Feb-21,49.61
Feb-21,83.69
Feb-21,174.99
Feb-21,94.04
Feb-21,49.31
Feb-21,192.76
Feb-21,105.65
Feb-21,108.25
Feb-21,147.41
Feb-21,145.79
Feb-21,105.65
Feb-21,107.25
Feb-21,106.32
Feb-21,89.24
Feb-21,49.31
Feb-21,106.51
Feb-21,147.41
Feb-21,49.31
Feb-21,56.52
Feb-21,49.17
Feb-21,105.65
Feb-21,70.41
Feb-21,106.32
Feb-21,142.61
Feb-21,48.89
Feb-21,192.76
Feb-21,106.32
Feb-21,49.31
Feb-21,106.51
Feb-21,106.51
Feb-21,106.32
Feb-21,140.75
Feb-21,145.92
Feb-21,80.14
Feb-21,106.51
Feb-21,136.23
Feb-21,107.25
Feb-21,56.52
Feb-21,174.99
Feb-21,107.6
Feb-21,48.81
Feb-21,105.65
Feb-21,70.41
Feb-21,107.22
Feb-21,48.89
Feb-21,192.76
Feb-21,107.25
Feb-21,70.41
Feb-21,70.41
Feb-21,106.51
Feb-21,49.6
Feb-21,56.52
Feb-21,106.51
Feb-21,174.99
Feb-21,145.79
Feb-21,140.75
Feb-21,147.41
Feb-21,107.22
Feb-21,59.09
Feb-21,46.67
Feb-21,132.58
Feb-21,107.6
Feb-21,70.41
Feb-21,107.6
Feb-21,76.82
Feb-21,144.31
Feb-21,174.5
Feb-21,80.14
Feb-21,140.75
Feb-21,59.09
Feb-21,76.82
Feb-21,94.04
Feb-21,48.69
Feb-21,174.99
Feb-21,49.17
Feb-21,107.22
Feb-21,70.41
Feb-21,174.5
Feb-21,49.31
Feb-21,83.69
Feb-21,48.69
Feb-21,140.75
Feb-21,106.51
Feb-21,94.04
Feb-21,49.31
Feb-21,174.99
Feb-21,140.75
Feb-21,49.31
Feb-21,106.32
Feb-21,192.76
Feb-21,180.0
Feb-21,145.92
Feb-21,174.5
Feb-21,107.6
Feb-21,107.6
Feb-21,79.52
Feb-21,90.43
Feb-21,144.31
Feb-21,49.18
Feb-21,144.31
Feb-21,79.52
Feb-21,83.69
Feb-21,140.75
Feb-21,95.0
Feb-21,147.41
Feb-21,49.17
Feb-21,192.76
Feb-21,56.52
Feb-21,76.82
Feb-21,174.99
Feb-21,106.51
Feb-21,83.69
Feb-21,106.51
Feb-21,95.0
Feb-21,145.79
Feb-21,107.25
Feb-21,174.5
Feb-21,142.61
Feb-21,140.75
Feb-21,89.24
Feb-21,49.17
Feb-21,76.82
Feb-21,140.75
Feb-21,145.92
Feb-21,140.75
Feb-21,56.52
Feb-21,97.7
Feb-21,192.76
Feb-21,140.75
Feb-21,145.92
Feb-21,107.6
Feb-21,48.81
Feb-21,107.25
Feb-21,106.51
Feb-21,106.51
Feb-21,174.5
Feb-21,107.22
Feb-21,107.22
Feb-21,94.04
Feb-21,174.99
Feb-21,180.0
Feb-21,70.41
Feb-21,107.6
Feb-21,107.25
Feb-21,107.6
Feb-21,49.18
Feb-21,107.22
Feb-21,49.18
Feb-21,140.75
Feb-21,106.32
Feb-21,144.31
Feb-21,140.75
Feb-21,180.0
Feb-21,140.75
Feb-21,174.5
Feb-21,174.5
Feb-21,110.25
Feb-21,97.7
Feb-21,49.17
Feb-21,56.52
Feb-21,105.65
Feb-21,140.75
Feb-21,49.31
Feb-21,108.33
Feb-21,97.7
Feb-21,106.51
Feb-21,83.69
Feb-21,147.41
Feb-21,140.75
Feb-21,49.18
Feb-21,59.09
Feb-21,76.82
Feb-21,95.0
Feb-21,49.31
Feb-21,59.09
Feb-21,49.12
Feb-21,147.41
Feb-21,107.6
Feb-21,70.41
Feb-21,106.32
Feb-21,145.92
Feb-21,106.32
Feb-21,174.99
Feb-21,70.41
Feb-21,174.99
Feb-21,132.58
Feb-21,106.51
Feb-21,107.25
Feb-21,106.32
Feb-21,140.75
Feb-21,110.25
Feb-21,49.31
Feb-21,174.99
Feb-21,106.51
Feb-21,145.92
Feb-21,174.5
Feb-21,106.51
Feb-21,174.5
Feb-21,142.61
Feb-21,49.6
Feb-21,174.99
Feb-21,180.0
Feb-21,49.12
Feb-21,174.5
Feb-21,145.79
Feb-21,145.79
Feb-21,107.25
Feb-21,106.51
Feb-21,107.25
Feb-21,174.5
Feb-21,70.41
Feb-21,76.82
Feb-21,180.0
Feb-21,56.52
Feb-21,107.25
Feb-21,147.41
Feb-21,140.75
Feb-21,76.82
Feb-21,95.0
Feb-21,49.31
Feb-21,174.99
Feb-21,107.22
Feb-21,140.75
Feb-21,140.75
Feb-21,107.6
Feb-21,106.51
Feb-21,48.89
Feb-21,83.69
Feb-21,48.63
Feb-21,70.41
Feb-21,49.17
Feb-21,49.18
Feb-21,107.25
Feb-21,136.23
Feb-21,107.6
Feb-21,94.04
Feb-21,192.76
Feb-21,94.04
Feb-21,174.99
Feb-21,145.79
Feb-21,140.75
Feb-21,107.6
Feb-21,108.25
Feb-21,142.61
Feb-21,140.75
Feb-21,106.51
Feb-21,49.18
Feb-21,76.82
Feb-21,142.61
Feb-21,144.31
Feb-21,106.51
Feb-21,107.25
Feb-21,48.69
Feb-21,145.79
Feb-21,192.76
Feb-21,70.41
Feb-21,70.41
Feb-21,107.22
Feb-21,70.41
Feb-21,106.32
Feb-21,79.52
Feb-21,97.7
Feb-21,107.22
Feb-21,106.32
Feb-21,107.6
Feb-21,107.6
Feb-21,95.0
Feb-21,94.04
Feb-21,192.76
Feb-21,70.41
Feb-21,105.65
Feb-21,107.6
Feb-21,192.76
Feb-21,105.65
Feb-21,174.99
Feb-21,142.61
Feb-21,108.25
Feb-21,145.92
Feb-21,136.23
Feb-21,49.17
Feb-21,140.75
Feb-21,95.0
Feb-21,147.41
Feb-21,80.14
Feb-21,83.69
Feb-21,107.25
Feb-21,106.51
Feb-21,107.22
Feb-21,48.89
Feb-21,107.6
Feb-21,107.22
Feb-21,106.32
Feb-21,107.22
Feb-21,142.61
Feb-21,140.75
Feb-21,107.6
Feb-21,106.51
Feb-21,105.65
Feb-21,140.75
Feb-21,107.6
Feb-21,108.33
Feb-21,174.99
Feb-21,105.65
Feb-21,46.67
Feb-21,145.79
Feb-21,140.75
Feb-21,56.52
Feb-21,174.99
Feb-21,107.6
Feb-21,174.99
Feb-21,174.5
Feb-21,95.0
Feb-21,95.0
Feb-21,147.41
Feb-21,89.24
Feb-21,192.76
Feb-21,94.04
Feb-21,49.31
Feb-21,174.99
Feb-21,110.25
Feb-21,107.25
Feb-21,145.79
Feb-21,94.04
Feb-21,145.79
Feb-21,97.7
Feb-21,46.67
Feb-21,70.41
Feb-21,147.41
Feb-21,49.31
Feb-21,140.75
Feb-21,145.79
Feb-21,145.92
Feb-21,174.99
Feb-21,95.0
Feb-21,49.31
Feb-21,49.17
Feb-21,174.5
Feb-21,174.99
Feb-21,49.31
Feb-21,49.17
Feb-21,107.25
Feb-21,70.41
Feb-21,106.51
Feb-21,107.22
Feb-21,105.65
Feb-21,107.25
Feb-21,140.75
Feb-21,192.76
Feb-21,128.57
Feb-21,89.24
Feb-21,76.82
Feb-21,49.32
Feb-21,49.31
Feb-21,174.99
Feb-21,70.41
Feb-21,76.82
Feb-21,192.76
Feb-21,97.7
Feb-21,49.31
Feb-21,95.0
Feb-21,145.79
Feb-21,144.31
Feb-21,48.89
Feb-21,46.67
Feb-21,132.58
Feb-21,95.0
Feb-21,95.0
Feb-21,174.5
Feb-21,106.32
Feb-21,105.65
Feb-21,46.67
Feb-21,70.41
Feb-21,110.25
Feb-21,144.31
Feb-21,106.51
Feb-21,94.04
Feb-21,107.22
Feb-21,140.75
Feb-21,46.67
Feb-21,89.24
Feb-21,48.89
Feb-21,140.75
Feb-21,140.75
Feb-21,147.41
Feb-21,106.32
Feb-21,79.52
Feb-21,147.41
Feb-21,79.52
Feb-21,80.14
Feb-21,59.09
Feb-21,107.6
Feb-21,106.32
Feb-21,147.41
Feb-21,49.17
Feb-21,144.31
Feb-21,108.25
Feb-21,174.5
Feb-21,140.75
Feb-21,70.41
Feb-21,107.6
Feb-21,107.25
Feb-21,107.25
Feb-21,79.52
Feb-21,107.25
Feb-21,49.12
Feb-21,192.76
Feb-21,80.14
Feb-21,140.75
Feb-21,145.79
Feb-21,106.32
Feb-21,140.75
Feb-21,94.04
Feb-21,94.04
Feb-21,174.5
Feb-21,174.5
Feb-21,140.75
Feb-21,147.41
Feb-21,107.6
Feb-21,108.25
Feb-21,80.14
Feb-21,76.82
Feb-21,49.18
Feb-21,107.25
Feb-21,56.52
Feb-21,106.51
Feb-21,174.99
Feb-21,142.61
Feb-21,49.6
Feb-21,49.18
Feb-21,85.63
Feb-21,145.79
Feb-21,174.5
Feb-21,48.63
Feb-21,107.25
Feb-21,107.22
Feb-21,94.04
Feb-21,79.52
Feb-21,107.22
Feb-21,89.24
Feb-21,106.32
Feb-21,49.6
Feb-21,76.82
Feb-21,107.6
Feb-21,140.75
Feb-21,94.04
Feb-21,106.51
Feb-21,48.63
Feb-21,145.79
Feb-21,174.5
Feb-21,94.04
Feb-21,142.61
Feb-21,59.09
Feb-21,140.75
Feb-21,97.7
Feb-21,180.0
Feb-21,145.92
Feb-21,107.22
Feb-21,49.12
Feb-21,76.82
Feb-21,94.04
Feb-21,107.25
Feb-21,192.76
Feb-21,174.5
Feb-21,147.41
Feb-21,140.75
Feb-21,49.31
Feb-21,85.63
Feb-21,108.25
Feb-21,76.82
Feb-21,174.99
Feb-21,49.12
Feb-21,79.52
Feb-21,136.23
Feb-21,94.04
Feb-21,174.99
Feb-21,97.7
Feb-21,107.6
Feb-21,70.41
Feb-21,106.32
Feb-21,147.41
Feb-21,49.31
Feb-21,90.43
Feb-21,49.12
Feb-21,83.69
Feb-21,107.22
Feb-21,174.5
Feb-21,49.17
Feb-21,174.5
Feb-21,174.99
Feb-21,106.32
Feb-21,174.5
Feb-21,174.99
Feb-21,147.41
Feb-21,80.14
Feb-21,180.0
Feb-21,107.25
Feb-21,94.04
Feb-21,107.22
Feb-21,80.14
Feb-21,107.22
Feb-21,80.14
Feb-21,145.79
Feb-21,49.17
Feb-21,174.99
Feb-21,174.99
Feb-21,105.65
Feb-21,94.04
Feb-21,107.6
Feb-21,192.76
Feb-21,174.99
Feb-21,48.81
Feb-21,56.52
Feb-21,107.25
Feb-21,106.32
Feb-21,107.25
Feb-21,192.76
Feb-21,174.5
Feb-21,107.22
