Month of Sourcing,Sourcing Cost
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Dec-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Jul-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
Aug-20,57.0
